claim,label,Additional_Info
"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",SUPPORT,(No content found)
1/2000 in UK have abnormal PrP positivity.,SUPPORT,"Creutzfeldt–Jakob disease (vCJD) is a fatal type of brain disease. Initial symptoms include psychiatric problems, behavioral changes, and painful sensations. Average life expectancy following the onset of symptoms is 13 months. CJD is caused by abnormal folding of a protein known as a prion. About 70% of people die within a year of diagnosis. About 85% of cases of CJD occur for unknown reasons. Exposure to brain or spinal tissue from an infected person may also result in spread."
A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,CONTRADICT,(No content found)
"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",CONTRADICT,"Creutzfeldt–Jakob disease (vCJD) is a fatal type of brain disease within the transmissible spongiform encephalopathy family. Initial symptoms include psychiatric problems, behavioral changes, and painful sensations. Average life expectancy following the onset of symptoms is 13 months. It is caused by prions, which are misfolded proteins, and is a form of brain cancer. For more information on vCJD, visit www.cjd.org.uk."
ADAR1 binds to Dicer to cleave pre-miRNA.,SUPPORT,"RNA interference (RNAi) is a biological process in which RNA molecules are involved in sequence-specific suppression of gene expression by double-stranded RNA. Andrew Fire and Craig Mello shared the 2006 Nobel Prize in Physiology or Medicine for their work on RNAi in the nematode worm Caenorhabditis elegans. They worked on the RNAi process in the worm Caensorhabdus elegans, which is a type of nematodes. For more information about RNAi, visit the Royal Society of Chemistry website."
AIRE is expressed in some skin tumors.,SUPPORT,"ETV6 (i.e. translocation-Ets-leukemia virus) protein is a transcription factor. It regulates the development and growth of diverse cell types, particularly those of hematological tissues. GLI1 also known as glioma-associated oncogene is a protein that in humans is encoded by theGLI1 gene. It was originally isolated from human glioblastoma cells. It has been shown to play a role in the development of some forms of cancer."
ALDH1 expression is associated with better breast cancer outcomes.,CONTRADICT,"Cancer stem cells (CSCs) are cancer cells that possess characteristics associated with normal stem cells. CSCs may generate tumors through the stem cell processes of self-renewal and differentiation into multiple cell types. Such cells are hypothesized to persist in tumors as a distinct population and cause relapse and metastasis. They are also thought to play a role in the development of other types of cancer cells, such as lymphoma and lung cancer. They have been linked to a higher incidence of cancer in the United States."
ALDH1 expression is associated with poorer prognosis in breast cancer.,SUPPORT,"Aldehyde dehydrogenase 1 family, member A1 is an enzyme that is encoded by the ALDH1A1 gene. It is also known as retinaldehyde dehydrogensase 1 (RALDH1) or ALDH 1A1. To date, nineteen ALDH genes have been identified within the human genome. These genes participate in a wide variety of biological processes. The oxygen in aldehydes comes from a water molecule, so ALDH enzymes catalyse the oxidation of aldeHydes."
AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,CONTRADICT," mTOR is a kinase that in humans is encoded by the MTOR gene. It is a member of the phosphatidylinositol 3-kinase-related kinase family of protein kinases. It regulates cell growth, cell proliferation, cell motility, cell survival, protein synthesis, autophagy, and transcription. mTOR has been shown to play a key role in the development of the human immune system. It has also been found to play an important role in some forms of cancer."
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,SUPPORT,(No content found)
"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",CONTRADICT,(No content found)
Activation of PPM1D suppresses p53 function.,SUPPORT,The protein encoded by this gene is a member of the PP2C family of Ser/Thr protein phosphatases. This phosphatase negatively regulates the activity of p38 MAP kinase (MAPK/p38) through which it reduces the phosphorylation of p53. This gene is located in a chromosomal region known to be amplified in breast cancer. It is found in a region of the genome that is thought to play a role in the development of cancer.
All hematopoietic stem cells segregate their chromosomes randomly.,SUPPORT,"This glossary of cellular and molecular biology is a list of definitions of terms and concepts commonly used in the study of cell biology, molecular biology, and related disciplines. It is split across two articles: The Cell Biology Glossary and the Molecular Biology glossary. The history of genetics can be represented on a timeline of events from the earliest work in the 1850s, to the DNA era starting in the 1940s, and the genomics era beginning in the 1970s. In the United States, three children per 1,000,000 are diagnosed each year."
Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,SUPPORT,"Mesoamerican nephropathy (MeN) is an endemic chronic kidney disease (CKD) characterized by reduced glomerular filtration rate (GFR) with mild or no proteinuria. MeN is prevalent in agricultural communities along the Pacific Ocean coastal lowlands Mesoamerica. Secondary hypertension has a specific and identifiable underlying primary cause. It is much less common than essential hypertension, affecting only 5-10% of hypertensive patients. It has many different causes including obstructive sleep apnea, kidney disease, endocrine diseases, and tumors."
Anthrax spores can be disposed of easily after they are dispersed.,CONTRADICT,"The Tokyo subway sarin attack was an act of domestic terrorism perpetrated on 20 March 1995, in Tokyo, Japan, by members of the cult movement Aum Shinrikyo. In five coordinated attacks, the perpetrators released sarin on three lines of the Tokyo Metro, killing 13 people, severely injuring 50 (some of whom later died), and causing temporary vision problems for nearly 1,000 others. The attack was directed against trains passing through Kasumigaseki and Nagatachō, where the National Diet (Japanese parliament) is headquartered."
Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,SUPPORT,"Clostridioides difficile infection (CDI or C-diff) is a symptomatic infection. Symptoms include watery diarrhea, fever, nausea, and abdominal pain. Complications may include pseudomembranous colitis, toxic megacolon, perforation of the colon, and sepsis. A list of antibiotic resistant bacteria is provided below. These bacteria are considered to be resistant to some form of antibiotics. Antibiotics are not effective against viruses such as the common cold or influenza."
Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,SUPPORT,(No content found)
