claim,label,source_language
"Wer für eine Haftstrafe für Carola Rackete sei, solle eine SMS mit „seawatch10“ senden",false,de
Gelir dağılımı Türkiye’de gittikçe düzeliyor.,partly true/misleading,tr
Der Rundfunkbeitrag sei überlastet wegen Anfragen von „Hallo Meinung“,false,de
Bildcollage belege einen Zusammenhang zwischen Angela Merkel und dem NSU,false,de
Çocuk gelinlerde dünya üçüncüsüyüz.,false,tr
Ayı saldırısıyla ilgili görselin Sağlık Bakanlığı onaylı ilk yardım kitabında yer aldığı iddiası,false,tr
"Geçen yılı 12,3 milyar dolarlık uluslararası yatırımla kapattık. Bu yılın ilk dört ayında 3,6 milyar ile geçen yılın üzerine çıktık. Amerika ve Avrupa ile birlikte Körfez ve Uzak Doğu Asya ülkelerinin payının da giderek yükseldiğini görüyoruz.",partly true/misleading,tr
"Türkiye, 7 Haziran seçimlerini uluslararası standartlarca demokratik olarak gerçekleştirmiştir.",false,tr
Vergi gelirleri misli ile 4-5 kat arttı.,partly true/misleading,tr
Ekim 2016’da işsizlik oranı Türkiye’de Mart 2010’dan bu yana kaydedilen en yüksek işsizlik oranına tekabül etmiştir.,false,tr
Yeni Akit Gazetesi'nin kara delik görselini buzladığı iddiası,false,tr
"50.000 arbeitslose Türken gegen Gehalt, Kost und Logis nach Deutschland",false,de
Fotoğraf Osmanlı'da seyyar elma şekercisini göstermiyor,false,tr
Avrupa'da en ucuz doğalgaz satan ülke Türkiye'dir. Elektrikte de en ucuz satan ilk 5 ülke arasındadır.,false,tr
Pensilvanya'da Gülen'in evine giden yollarda AK Parti reklamları,true,tr
yüzde 4’lük büyüme ile Çin ve Hindistan hariç gelişmekte olan ülkeler ortalamasının iki katından fazla büyüdük.,false,tr
CHP milletvekilleri Adalet Mitingi yerine Kazlıçeşme Mitingi fotoğrafı paylaştı iddiası,true,tr
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr
Duden listet „Inschallah“ neu als deutsches Wort,false,de
"Son 20 yılın en yüksek tek ayı geldi gıda enflasyonunda, %6,5’a yakın.",mostly false,tr
Bütün dünyada doların değer kazanması sonrasında ulusal para birimlerinde benzer bir trend yaşanıyor.,mostly false,tr
Kleintransporter rast in Gruppe von Türken,false,de
Der unverbindliche Migrationspakt – plötzlich doch verbindlich!,partly true/misleading,de
Fotoğrafın Birinci Dünya Savaşı'ndan kaçıp Müslüman ülkelere sığınan Avrupalıları gösterdiği iddiası,false,tr
"...son beş yılda, 2009 ve 2013 yıllarında, Türkiye’de 48.300 düzensiz göçmen yakalanmıştır.",false,tr
İŞKUR'un 7 bin 400 Suriyeli istihdam edeceği iddiası,false,tr
"Bild zeigt schwarzen Löwen, von denen es nur zwei auf der Welt gibt.",false,de
"„143 Kinder getötet, 13 539 sexuell missbraucht - Deutschlands traurigste Statistik“. Die Grünen nennen das bunte Vielfalt",false,de
Mundschutz: Kleinkinder gar nicht!,false,de
Kanada'da Türkiye'deki kadınların seçme ve seçilme hakkıyla ilgili karikatür yayınlandığı iddiası,true,tr
"(son bir yılda) Bebek mamaları yüzde 100, pişik kremleri ise yüzde 70 zamlandı.",mostly false,tr
درآمد پزشکان ایرانی (با احتساب برابری قدرت خرید) بیش از همه جای دنیا است.,mostly true,fa
„Regierung gibt zu: Impfungen verursachen Autismus und schwere körperliche/psychische Schäden”,mostly false,de
Hiçbir koalisyon döneminde ülkede kalkınma görülmedi.,false,tr
"AKP’ye en çok oy çıkan yerler, deprem riskinin en yüksek olduğu yerler",mostly false,tr
Türkiye son 10 yılda 120 milyar doların üzerinde gıdası için tarım ürünü ithal etti.,partly true/misleading,tr
"Zarar eden PTT, geçen yıl itibarıyla cirosunu 1 milyar doların üzerine çıkarmıştır. 200 milyon dolar civarında da bir net karı var.",mostly true,tr
"BBG LIVE ist hier: REWE (Karlsplatz 25, Bernburg).",true,de
ABD ve Avrupa’da Augmentin’in evcil hayvanlarda kullanımının yasaklandığı iddiası,false,tr
"Kemal Kılıçdaroğlu yine 'Türkiye'de demokrasi yok' demeyi tercih etti. Yani seçimden daha yeni çıkmışız. Bugün Avrupa'da seçimler öyle yüzde 45, yüzde 50, yüzde 55'lerde iken, ülkemizde yüzde 87 gibi bir katılımla seçim yapıyoruz.",partly true/misleading,tr
Suriyeli sığınmacıların ülke içinde istedikleri gibi yer değiştirebilecekleri iddiası,false,tr
"Der Familienhund biss einem Pädophilen, der zwei Mädchen vergewaltigen wollte, seinen Penis und seine Genitalien ab",false,de
Asgari ücreti 184 liradan bin liraya çıkaran biziz.,true,tr
(Türkiye) Yolsuzluk Algılama Endeksi'nde 2003 yılında 133 ülke arasında 77'nci sırada yer alırken 2013 yılında 50'nci sıraya yükselmiştir.,mostly false,tr
"2015 yılında, BES (bireysel emeklilik sistemi), ortalamada reel olarak yüzde 7'ye yakın zarar etmiştir.",true,tr
E-104 isimli renklendiricinin deri hastalıklarına sebep olduğu ve bazı ülkelerde yasaklandığı iddiası,partly true/misleading,tr
Almanya’da bir Japon kafesinde Atatürk’e özel köşe yapıldığı iddiası,partly true/misleading,tr
Parası değer kaybeden gelişmekte olan ülkelerin tamamı petrol üretenler.,partly true/misleading,tr
"Aile gelirinin borca oranı 2002’de yüzde 4,7’ydi. Şimdi bu oran yüzde 57.",mostly true,tr
اصلاح‌طلبان در تهران ۱۳۰ نامزد تایید صلاحیت شده دارند که افراد گمنامی هم نیستند.,false,fa
Bekanntester Popstar aus Deutschland stirbt bei Unfall,false,de
Türkiye 1980’den bu yana dünyanın en büyük 20 ekonomisinden biridir.,true,tr
Verschiedene Zitate von Grünen Politikern,partly true/misleading,de
Fotoğrafın 5 litrelik yağ şişelerinin eksik doldurulduğunu gösterdiği iddiası,false,tr
Fotoğrafın Türkiye’ye gelen S-400 füzelerini gösterdiği iddiası,false,tr
"Nach dem Mord an der 14-jährigen Susanna, legt die Seite „Tag24” nahe, dass der Tatverdächtige wieder freigelassen werden soll.",mostly false,de
Avrupa ve ABD’deki uygulamalarda hiçbir gösteride maske kullanılamaz. Maske kullanan alıp götürülecek,mostly true,tr
"Son 1 ayda fiyatı düşen ürün sayısı 37, buna karşılık fiyatı artan ürün sayısı 360 civarında.",true,tr
Video küçük kuzeni sınav belgesi yerine boş kağıt verdiği için YKS'ye giremeyen genci göstermiyor,false,tr
"2014 yılı durgunluğun, enflasyonun, işsizliğin ve borçların tırmandığı bir yıl olarak...",partly true/misleading,tr
Chinesische Lebensmittel sind gefährlich.,partly true/misleading,de
Fotoğrafın Latin alfabesine geçiş sırasındaki bir propaganda afişini gösterdiği iddiası,true,tr
"Önceki yıl 7 bin, geçen yıl 5 bin megavat yeni üretim tesisi kurulmuş.",partly true/misleading,tr
ES DROHEN HOHE BUSSGELDER: 43 MILLIONEN DEUTSCHE MÜSSEN IHREN FÜHRERSCHEIN UMTAUSCHEN,mostly true,de
Türkiye yolsuzluk algısında rekor puan kaybedip en kötü şekilde gerileyen ülke,mostly true,tr
Çaykur Varlık Fonu'na devredildiğinden beri zarar ediyor: Kâr öngördü zarar 657 milyon oldu,true,tr
Das ist der Islam 2020 in der Türkei,false,de
Tablonun bazı illerdeki koronavirüs vakalarını gösterdiği iddiası,false,tr
"Opera, bale ve korolarda seyirciden, esere; sanatçıdan, salona tüm sayıları azaldı",true,tr
A Haber'in Muharrem İnce'nin İzmir mitingine katılım olmadı alt bandı kullandığı iddiası,false,tr
"2015’in ilk 3 çeyreğinde yüzde 4’lük büyüme ile ülkemiz OECD ülkeleri arasında 2.sırada, G20 ülkeleri arasında 4.sırada yer alıyor.",partly true/misleading,tr
Türkiye’de istihdam edilen 8 milyon kadının sadece %45’i kayıtlı çalışan durumundadır. Tarım sektöründe çalışan kadınların ise %90’ı kayıtsız çalışmaktadır.,mostly true,tr
Cem Yılmaz Bebek Otel'in ortağı değil,false,tr
Selfitis'in Amerikan Psikiyatri Derneği tarafından hastalık olarak kabul edildiği iddiası,partly true/misleading,tr
"Türkiye havacılıkta dünyada 11., Avrupa’da 5. sıraya yükseldi. THY Avrupa’nın 2. büyük şirketi haline geldi.",mostly true,tr
Ayhan Ünal'ın Manisa Alaşehir Devlet Hastanesi’nin müdürü olduğu iddiası,partly true/misleading,tr
"Teknolojik yatırımlara çok geriden başlayan ülkemizde, 2016 yılı verilerine baktığımızda yüksek teknolojili ürünlerin imalat sanayi ihracatımızdaki payının sadece %3,5 olduğu görülmektedir.",true,tr
Türkiye OECD ülkeleri arasında gelir dağılımını en hızlı iyileştirebilen ülke oldu.,partly true/misleading,tr
Abu Dabi'de bir binaya İsrail bayrağı yansıtıldığı iddiası,false,tr
"Menschen, die ins Rentensystem einzahlen, bekommen nur 48% Rente, aber Beamte, die da nicht einzahlen, über 70%",partly true/misleading,de
"Asylanten bekommen Wohnungen mietfrei, deutsche Obdachlose müssen auf der Straße erfrieren.",mostly false,de
بین سه تا هفت میلیون کودک کار ایرانی وجود دارند.,false,fa
„Experte: Migranten aus Afrika sind keine Flüchtlinge nach Genfer Konvention“,false,de
Bazı ülkelerde Covid-19 tedavi masraflarını gösterdiği iddia edilen tutarlar,partly true/misleading,tr
"200 milyar dolara yakın bir bütçemiz var bizim 2016’da. Yalnız bu bütçenin çoğu, personel harcamalarına, cari harcamalara gidiyor. 200 milyar dolarlık bütçenin ancak 10’da 1'i yatırımlara gidiyor.",true,tr
Fotoğrafta ‘Tayyip bize maske değil ücretsiz şarap dağıt’ yazdığı iddiası,false,tr
"TSK NATO’nun 2. büyük ordusu, dünyanın 5. büyük ordusudur",partly true/misleading,tr
Die AfD bietet Teilnehmern einer Demo finanzielle Unterstützung an.,true,de
"Her 4 işsizden biri üniversitelidir. Üniversite mezunu işsizlik oranı yüzde 12,1 olarak gerçekleşmiştir.",true,tr
"Tarımsal ham maddede ithalat, ihracatın 6 katına ulaştı.",true,tr
2002 yılına kadar savunma sanayinin yüzde 80’i ithalatla karşılanıyordu.,mostly true,tr
Onlar (Suriyeli sığınmacılar) gelmeden önce petrolün fiyatı ne kadardı? Varili 100 doların üzerindeydi. Şimdi ne kadar? 50 dolar civarında.,true,tr
Tablonun Covid-19’un üç aşamasını gösterdiği iddiası,true,tr
Torku'nun sahibi ve ürettiği yumurtalar hakkındaki iddialar,false,tr
Wayfair isimli mobilya firmasının çocuk ticareti yaptığı iddiası,false,tr
Önümüzdeki 10 yılda enerji talebinin iki katına çıkmasını bekliyoruz.,false,tr
Aufruf zu Verkehrsunfall in Bulgarien,partly true/misleading,de
جزیره کیش به چینی‌ها واگذار می‌شود.,false,fa
(Son) 13 yıllık dönemde Türkiye 468 milyar dolar açık vermiştir…(AK Parti’den) önceki 13 yılda verilen cari açık sadece 20 milyar dolardır.,true,tr
"Neymiş? 1923-1950 arasında yapılan toplam 3,4 milyar dolar ihracat şimdi bir haftada yapılıyormuş! İyi de aynı dönemde Türkiye’nin dış ticaret açığı sıfır! Bugün ise haftada 1,2 milyar doları buluyor.",true,tr
Oy pusulaları üzerinde oy kullanılacak ilin isminin yazılı olması gerektiği iddiası,true,tr
Türkiye'nin dış borcu 438 milyar dolar oldu.,true,tr
"Nach dem Mord an der 14-jährigen Susanna, behauptet der Blog „Halle-Leaks” in einer Überschrift, der Tatverdächtige solle wahrscheinlich wieder freigelassen werden.",false,de
Fotoğraflar Yeni Zelanda'da gerçekleşen cami saldırısını göstermiyor,false,tr
Transatlantische Verflechtungen der Grünen,mostly true,de
"Türkiye, karbon salımı en çok artan ülkelerden birisi, hiçbir tedbir alınmıyor.",true,tr
"Dolar 7,60 TL, son 1 yılda TL %33 değer kaybetti. Son 3 yılda TL'nin değer kaybı ise %110",false,tr
Toyota isminin oyuncak araba anlamına gelen ‘toy auto’dan geldiği iddiası,false,tr
"2011’de yakalanan bonzai 44 kiloydu, 2013’te 350 kilo yakalandı",partly true/misleading,tr
Video Japonya'da üretilen robotu mu gösteriyor?,false,tr
"Dünyada kömür üretiminde Almanya 1., Türkiye 28. Son 30 yılda madenlerde ölen işçi sayısı Almanya’da 0, Türkiye’de 1580",mostly false,tr
"En borçlu ilk 5 il AKP, bağımsız istatistiklerde de rahatlıkla görüleceği üzere mutlu, yaşanabilir kentlerin çoğunluğu ise CHP'li belediye başkanlarıyla yönetiliyor.",mostly true,tr
"Diakonie sucht Fachkräfte, um Kinder aus Familien zu holen",false,de
"(İHH için) ""Türkiye’den böyle bir insani yardımı götürmek için günün başbakanına mı sordunuz?",false,tr
Erdoğan'ın Suriyelilere kitlesel vatandaşlık vermesinin modern dünyada eşi yok.,mostly true,tr
Fotoğraftaki yılan montajlanmış,false,tr
Lügenpresse verschweigt Gerichtsurteil: Plötzlicher Kindstod (SIDS) von Impfungen verursacht!,mostly false,de
