claim,label,source_language
"İzmir Ankara’ya five veriyor, siz İzmir’e one veriyorsunuz.",mostly true,tr
six bin kilometer bölünmüş yol vardı şimdi 18 bin kilometer bölünmüş yol var.,true,tr
وزارت بهداشت کانادا گفته برای پیشگیری از کرونا آب بنوشید.,false,fa
"Türkiye’de 2006’da bir kanun çıkardılar, dediler ki milli gelirin yüzde birini tarıma vereceğiz. thirty milyar dolar verecekken twelve milyar dolar verdiler. Bu devlet bu çiftçiye borçludur.",mostly true,tr
"İş Kanunu gereği, kamu kuruluşları yüzde 4, özel sektör yüzde 3 engelli çalıştırmak zorunda. Kamuda, çalışan personelin karşılığı olarak sixty-one bine yakın engelli çalıştırma zorunluluğu var. Kamuda yaklaşık thirty-five bin engelli çalışıyor.",mostly true,tr
Birleşik Krallık Türkiye için Avrupa’daki en büyük ihracat pazarı. Toplam ticaret hacmimiz sixteen milyar doların üzerindedir.,mostly true,tr
"Kanal İstanbul için merkezi hükumetin harcayacağı para, Çevre ve Şehircilik Bakanlığı’nın depremden bu ülkeyi kurtaracak kentsel dönüşüme ayırdığı paranın tam seven katıdır",true,tr
"Biz burada 38 yasa çıkardık. Cumhurbaşkanı 41 Cumhurbaşkanlığı kararnamesi çıkardı. Toplam sayı olarak, yasaların toplam maddesi 669, Cumhurbaşkanının kararname madde sayısı 1.915 yani 3 misli daha fazla yasama çalışması yapılmış oldu sarayda.",true,tr
"Kardinal George Pell habe gesagt, „Abtreibung ist schlimmer amyotrophic lateral sclerosis Kindesmissbrauch“",mostly true,de
"Menschen, die ins Rentensystem einzahlen, bekommen nur 48% Rente, aber Beamte, die da nicht einzahlen, über 70%",false,de
Türkiye’de bugün three milyon işsiz var. Bunların one milyonu üniversite mezunu.,mostly true,tr
"die Seite „politikstube.com” suggeriert, hyrax die Stadt Rottweil besonders teuer ausgestattete Wohnungen für Flüchtlinge baut.",mostly true,de
"200 milyar dolara yakın bir bütçemiz var bizim 2016’da. Yalnız bu bütçenin çoğu, personel harcamalarına, cari harcamalara gidiyor. 200 milyar dolarlık bütçenin ancak 10’da 1'i yatırımlara gidiyor.",true,tr
"İstanbul Atatürk Havalimanı, Frankfurt Havalimanı'nı district attorney geçerek Avrupa'da en fazla yolcu ağırlayan üçüncü liman haline geldi.",true,tr
Otoriter rejimlerde enflasyon oranları demokrasilerdeki ortalamanın neredeyse twenty katı.,mostly true,tr
Seit Beginn des Coronavirus sind 3.354 Menschen gestorben und 924.000 Kinder verschwunden,false,de
...devlete ve özel sektöre ait yatak kapasitesi ihtiyacın yüzde 10'unu karşılayabiliyor.,mostly true,tr
"6 milyon 200 bin işsizimiz var. Son iki ayda işsiz kalan kişi sayısı 1 milyon 300 bin. 400 bin kişi bir yıldır iş arıyor, bulamıyor.",true,tr
Bakan Pakdemirli'nin patates firmasında danışmanlık yaptığı iddiası,true,tr
Grundschulkinder besuchen theater inch Moschee,true,de
"Drei Islamisten vergewaltigen Kind so brutal, dass es 3 Tage ins Lebensgefahr schwebte",false,de
"'İstihdamı artıracağız' dediler, işsizlik rekoru kırdılar.",mostly true,tr
Habur'dan Irak'a günde 7 bin TIR geçiyor.,false,tr
Sosyal yardımları yıllık two milyar liradan thirty-eight milyar liraya çıkarttık.,mostly true,tr
Pharma-Milliardär wegen Verschwörung und Drogenkartell verhaftet.,mostly true,de
"Türkiye havacılıkta dünyada 11., Avrupa’da 5. sıraya yükseldi. THY Avrupa’nın 2. büyük şirketi haline geldi.",mostly true,tr
Kamudan KHK’ler ile ihraç edilenlerin 41.705’i (yüzde 31) eğitim ve yükseköğretim kurumlarından.,mostly true,tr
"Borcun, milli gelire oranı yüzde 30'un altında. Avrupa ülkelerinin borcunun milli gelire oranı Türkiye'nin three katı, bütçe açıkları Türkiye'nin three katı.",mostly true,tr
Fotoğrafın Küba'nın İtalya'ya gönderdiği yardım heyetini gösterdiği iddiası,false,tr
Italienisches Lied auf Youtube: Jeder Klick ist eine Spende an ein Krankenhaus in Bergamo,false,de
Türkiye yayıncılık sektörü büyüklüğü açısından dünyanın 12’inci büyük ülkesidir,mostly true,tr
"Türkiye'de Süryanice eğitim veren okul bulunmuyor, 1928'de kapatılan son okuldan sonra bu eğitim yapılamıyor, sadece bir anaokulu form",true,tr
طی سال‌های آینده جامعه ایران با سونامی سالمندی روبه‌رو خواهد شد.,mostly true,fa
AK Parti iktidara gelmeden önce ataması yapılmamış öğretmen kalmayacağını vaad etti.,mostly true,tr
موسسات معتبر بین‌المللی ایران را جزو امن‌ترین کشورهای جهان برای سفر معرفی کرده‌اند.,mostly true,fa
"Ülkemiz, 2016’da yaptığı 6 milyar dolarlık insani kalkınma yardımlarıyla, bu alanda rakam olarak dünyada ikinci sırada, milli gelirine oranla da ilk sırada yer almaktadır.",mostly true,tr
Aussagen gold dem AfD-Wahlprogramm für Saxony,mostly true,de
"Tüketici kredisi, banka kredi kartı borç batağıdır. Borç batağındaki vatandaş sayımız 5 milyon",false,tr
"Sprachnachricht mit Behauptungen über Vitamin D, Mutation des Virus, Triage und 5G",false,de
"(AK Parti iktidarı döneminde) …tarım sektörünün istihdama katkısı district attorney yüzde 34,9'dan yüzde 20,4'lere kadar gerilemiştir.",true,tr
Emeklilere verilen 1000 TL’lik bayram ikramiyesinin bazı kişilere eksik yattığı iddiası,true,tr
Hollanda'da evden çalışanların sabit masraflarını işverenlerin karşıladığı iddiası,false,tr
Rahmi Koç'un CryptoRobo isimli sanal para hakkında röportaj verdiği iddiası,false,tr
„Migranten fordern viel mehr Sex! An die verständnisvollen SPD und Grünen Frauen! Ab jetzt habt ihr Bereitschaftsdienst“,false,de
"Tartışmalı önerge Kabul edildi, tasarı ise twenty-two Kasım'da oylanacak",true,tr
2013 yılı sonu itibariyle toplam twenty-one dağıtım bölgesinde thirty-two milyar kwh’lik bir enerji kaybımız söz konusu. Bu toplam 229 milyar kwh’lik brüt tüketimin neredeyse yüzde 15'ine yakın.,true,tr
Türkiye Cumhuriyeti’nin ilk parasının üstünde ‘Saban kılıçtan üstündür’ yazdığı iddiası,false,tr
Türkiye yayıncılık sektörü büyüklüğü açısından dünyanın 12’inci büyük ülkesidir,mostly true,tr
Erdoğan'ın Bingöl mitingindeki kalabalığa Diyarbakır diye seslendiği iddiası,true,tr
"2015 yılında, beryllium (bireysel emeklilik sistemi), ortalamada reel olarak yüzde 7'ye yakın zarar etmiştir.",true,tr
"Dünya üzerinde 244 milyon göçmen var, bunun sixty milyonu yerinden zorla göç ettirilmiş insanlar.",true,tr
Türkiye 185.500 kişiyle Avrupa'da en çok kölenin yaşadığı ülke.,true,tr
"HDP, Türkiye’nin en yoksul mahallelerinden, İstanbul’un en fukara semtlerinden oy almıştır.",true,tr
Avrupa ve ABD’deki uygulamalarda hiçbir gösteride maske kullanılamaz. Maske kullanan alıp götürülecek,mostly true,tr
Video von ertrinkenden Flüchtlingen in Kreta zeigt Medienmanipulation.,false,de
"AK Parti iktidara geldiğinde milli gelir 230 milyar dolardı, kişi başı gelir ise 3 bin – 3 bin 500 dolar seviyesindeydi. Geçen yıl milli gelirimiz 720 milyar dolar oldu, (milli geliri) 3 kattan fazla arttırdık.",false,tr
طبق آمار وزارت کشاورزی آمریکا ۴۱ میلیون نفر با مشکل گرسنگی دست و پنجه نرم می‌کنند.,true,fa
"(Ekonomik büyüklük açısından)...zaten eskiden beri ilk 20’deydik ama 84’te ilk 20’nin 13’üncü, 14’üncü sıralarındaydık, şimdi 17’nci sırasındayız.",false,tr
Türkiye'ye gelen turistlere daha rahat vize alabilmelerini ve gezmelerine fırsat vermek düşüncesiyle 'e-vize' çalışmasına başladık. Bunun dünyada da bir örneği yok.,false,tr
The Simpsons Çin'de ortaya çıkan koronavirüsü önceden bildi mi?,false,tr
در هر انتخابات ریاست جمهوری ۷۳٪ مردم ایران شرکت می‌کنند.,false,fa
Dalai Lama: Europa gehört lair Europäern und Flüchtlinge müssen nach Hause gehen,mostly true,de
