claim,label,source_language
Videonun Japonya'da görevlilerin yolcuları metroya sığdırmaya çalıştığını gösterdiği iddiası,true,tr
Merkel schüttelt Macron dice Hand,false,de
Kümbetin arkasına öğrenci yurdu yapıldığı iddiası,true,tr
Fotoğrafın İspanyol gribi salgınında maske takan bir kediyi gösterdiği iddiası,true,tr
"Gençliğimizde 10 kişiden biri üniversiteye girebiliyordu, artık açıkta kalma yok.",false,tr
در برخی سال‌های اخیر دختران توانسته‌اند تا ۶۰درصد ورودی دانشگاه‌ها را از آن خود کنند,mostly true,fa
Nüfusun yüzde 50’si kendi seçtiği belediye başkanı tarafından yönetilmiyor.,mostly true,tr
زمین بایر پتروشیمی دهدشت و سهامی که طی یک سال چند برابر شده است.,mostly true,fa
تعداد امامزاده‌ها در ۳۷ سال گذشته حدودا ده‌ برابر شده است.,true,fa
CHP milletvekilleri Adalet Mitingi yerine Kazlıçeşme Mitingi fotoğrafı paylaştı iddiası,true,tr
1980-2002 arası Türkiye’nin ödediği faiz one hundred thirty-five milyar lira. 2002-2014 arası ödediği faiz ise 598 milyar lira,mostly true,tr
Tabelada hayvan pazarının 'Animal Sunday' diye çevrildiği iddiası,false,tr
Türkiye yolsuzluk algısında rekor puan kaybedip en kötü şekilde gerileyen ülke,mostly true,tr
Fotoğrafların Muğla Güvercinlik'te yangın sonrası yapılaşmaya açılan yerleri gösterdiği iddiası,true,tr
"Doktora seviyesinde -ki bu AR-GE merkezleri için en önemli kaynak kişileri oluşturur- mezuniyetler arasında, thirty-nine ülke arasında 35'inci sıradayız maalesef.",mostly true,tr
Fotoğrafların Yassıada'nın eski ve yeni halini gösterdiği iddiası,true,tr
"Anton Hofreiter: „Wir können kriminelle Flüchtlinge nicht einfach so abschieben, denn mit dem, was sie bei uns tun, müssen sie in ihren Ländern mit Konsequenzen rechnen“",false,de
100 gençten 27’si hem okula gitmiyor hem Delaware çalışmıyor.,mostly true,tr
"İzmir Ankara’ya five veriyor, siz İzmir’e one veriyorsunuz.",mostly true,tr
تیم‌های مشترکی از اسرائیل و یکی از کشورهای همسایه، ابرهای در حال ورود به ایران را غیربارور می‌کنند.,false,fa
...devlete ve özel sektöre ait yatak kapasitesi ihtiyacın yüzde 10'unu karşılayabiliyor.,mostly true,tr
Muhammed Ali'nin evini TÜRKEN Vakfının satın aldığı iddiası,true,tr
"Deutsche Ärzte dafür bezahlt werden, wenn sie als Todesursache Covid-19 eintragen",false,de
Abu Dabi'de bir binaya İsrail bayrağı yansıtıldığı iddiası,false,tr
Personen in Schutzanzügen geben sich als Mitarbeiter diethylstilbestrol Gesundheitsamts gold,true,de
Amatör kulüplere bu yıl yaklaşık fifty milyon lira yatırım yaptık.,mostly true,tr
PTT'nin Kadir Mısıroğlu adına pul bastırdığı iddiası,false,tr
"ABD ve Bachelor of Arts ülkeleri başta olmak üzere, birçok ülkede milli gelirin %10’unun üzerinde teşvik ve yardımlar açıklanmışken, Türkiye’de büyük bölümü vergi ertelemesi ve dolaylı desteklerden oluşan hundred milyar TL’lik ekonomik paketin milli gelire oranı sadece %2 düzeyindedir",mostly true,tr
Komşularla ekonomimizi yüzde 8'den yüzde 32'ye çıkardık,false,tr
Fotoğrafın Mustafa Bozbey'i kumarhanede gösterdiği iddiası,false,tr
OECD ülkeleri arasında işsizlik şampiyonuyuz.,false,tr
"Milli gelirine oranla, dünyada en yüksek asgari ücrete sahip olan ülkeyiz.",false,tr
"G20’nin kalkınma hedefi yüzde 2, Türkiye ise ortalama yüzde five büyüyor",mostly true,tr
Türkiye yayıncılık sektörü büyüklüğü açısından dünyanın 12’inci büyük ülkesidir,mostly true,tr
2020’de yaşanan depremlerde en çok can kaybının Türkiye'de olduğu iddiası,true,tr
"2003’te hanehalkı borcunun gelire oranı yüzde 5,1 iken, bu oran 2014’ün ilk six ayında yüzde liv oldu.",true,tr
Avrupa’da bir partinin yüzde 41 alması bir hayaldir.,false,tr
Türkiye 1980’den bu Yana dünyanın en büyük 20 ekonomisinden biridir.,true,tr
Hollanda'da suçlu olmadığı için hapishaneler kapatılıyor,true,tr
"Zarar eden PTT, geçen yıl itibarıyla cirosunu 1 milyar doların üzerine çıkarmıştır. 200 milyon dolar civarında district attorney bir internet karı var.",mostly true,tr
E-104 isimli renklendiricinin deri hastalıklarına sebep olduğu ve bazı ülkelerde yasaklandığı iddiası,false,tr
Die Zahl der Messer-Angriffe in Deutschland nimmt dramatisch zu.,false,de
متوسط رشد اقتصادی در دولت روحانی «نزدیک صفر» بوده است.,mostly true,fa
Video metroyla toplama kamplarına götürülen Uygurları göstermiyor,false,tr
Kayseri Uçak Fabrikası ve fabrikada üretilen uçaklarla ilgili iddialar,false,tr
Birleşik Krallık Türkiye için Avrupa’daki en büyük ihracat pazarı. Toplam ticaret hacmimiz sixteen milyar doların üzerindedir.,mostly true,tr
Grüne kassieren heimlich Geld von Rüstungslobby,false,de
"Krizdeki Arjantin Peso’sundan sonra, en fazla değer kaybeden parity birimine sahibiz.",true,tr
Şu anda iş uyuşmazlıklarında arabuluculuğa giden dosyaların neredeyse yüzde 90'ı çözülüyor. Çok büyük bir başarı oranı form,true,tr
Selena Gomez’in kolyesindeki haç TV8 tarafından sansürlendi iddiası,true,tr
(Yasa dışı göçmenlere atfen) Türkiye’den Ne kadar gitmiş? Bunun dörtte 1’i civarında her sene gidiyor ama bir önceki yılla mukayese edildiğinde ciddi bir düşüş söz konusu Türkiye’den Avrupa’ya geçişlerde,mostly true,tr
"Bachelor of Arts ortalamasının %14,3, OECD ortalamasının %11,2, Güney Kore’nin %10,4, Meksika’nın %7,2 sahip olduğu bir dönemde, %25'in üzerinde genç işsizlik oranı",mostly true,tr
"İhracatta 6 milyar, turizmde 6-7 milyar dolar Rusya'dan gelir elde ediyoruz. Bir de bavul ticareti var; 2013'te 8,5 milyar, 2014'te 6 milyar dolara düşen bir tablo. Kriz derinleşirse, Türkiye'nin 20 milyar dolar kaybı olacağı göz önünde bulundurulmalı.",mostly true,tr
"İş Kanunu gereği, kamu kuruluşları yüzde 4, özel sektör yüzde 3 engelli çalıştırmak zorunda. Kamuda, çalışan personelin karşılığı olarak 61 bine yakın engelli çalıştırma zorunluluğu form Kamuda yaklaşık thirty-five bin engelli çalışıyor.",mostly true,tr
پشت‌بام خوابی، شایعه رسانه‌های ضد انقلاب است.,false,fa
Ezanı yasaklayan İsrail'de televizyon kanalları hacklendi iddiası,false,tr
"Bu yıl kamu ve özel sektör yatırımlarının tutarı, tarihimizde ilk defa 1 trilyon lirayı aşacak. Bu district attorney 2002 yılına göre yaklaşık 4 katlık bir artışı ifade ediyor.",false,tr
"1986 yılında nükleerin elektrik üretimindeki payı yüzde 16’ydı, bugün yüzde 11’e düştü.",mostly true,tr
"Türkiye'de kadın istihdam oranı yüzde twenty-six civarındadır, aynı Oran gelişmiş ülkelerde yüzde 60'ın üstündedir",true,tr
İbuprofenin yeni koronavirüsün yol açtığı hastalığı ağırlaştırdığı iddiası,false,tr
İran Şahı Nasreddin'in haremine ait olduğu iddia edilen fotoğraflar,true,tr
İstanbul kişi başına düşen yeşil alan miktarı açısından Ankara ve İzmir’in gerisinde. Dünya üzerinde popüler 50 şehir arasında İstanbul sondan ikinci sırada.,true,tr
Mevcut öğretmen sayısının yüzde 55'i iktidarımız döneminde atanmıştır.,false,tr
اولین مراکزی که برای تعطیلی اجتماعات به دلیل کرونا اعلام آمادگی کردند، نهادهای مرتبط با روحانیت و مراکز مذهبی بود.,false,fa
"Dünyada gıda, emtia ve petrol fiyatları hızla düşerken; Türkiye’de son bir yıl içinde özellikle temel gıda maddelerinin yüzde 109 zamlanması tam bir garabettir.",false,tr
"2002 yılından 2014 yılına kadar girdi ve gübre fiyatlarında yüzde 300, yüzde 400'e yakın artışlar yaşandı.",true,tr
Kadınların dekolte giyerek deprem yaratmaya çalıştığı iddiası,true,tr
Zitat der Grünen-Politikerin Margarete Bause,false,de
Fotos von Busfahrern ohne Schutzmasken: Fahren Evakuierte nach Coronavirus-Ausbruch in Krankenhaus,mostly true,de
"Dünyanın like ten ekonomisi arasına girme hedefi olan Türkiye, 17.likten 18.sıraya düşmüştür",mostly true,tr
Gegenüberstellung zweier Zeit-Online-Artikel,false,de
(28 Şubat-16 Mart) Aynı tarihlerde Türk Lirası olarak da gelişmekte olan ülkelerin hepsinden daha iyi bir direnç gösterdik.,false,tr
Buschbrände in Kalifornien und Australien verlaufen angeblich entlang geplanter Bahnstrecke,false,de
Paris'teki İnsan Müzesi'nde Cezayirliler'in kafataslarının sergilendiği iddiası,false,tr
Thomas Müller verstorben.,false,de
"(2002 – 2012 enerji kaynak kullanımı) doğal gaz kullanımı yüzde 17 iken yüzde thirty-two seviyelerine çıkmış, petrol kullanımı yüzde 41 iken yüzde twenty-six seviyesine düşmüş, ""yenilenebilir enerji"" kaynakları yüzde 0,3’ten yüzde 4’e çıkmıştır.",mostly true,tr
"Ne eğitimde neon istihdamda olan gençlerimizin oranı %24,2! OECD ülkeleri içinde bu alandaki en kötü konumumuzu sürdürüyoruz.",true,tr
"(OECD raporunda) Türkiye'de rüşvet, yolsuzluk ve kara parity aklamadan söz ediyor...İlk kez Türkiye bu kadar internet bir uluslararası raporda yolsuzluk konusunda yer alıyor.",true,tr
Şilili reklamcı Ferrada'nın Hayır kampanyası hakkında söylediği iddia edilen sözler,false,tr
"Türkiye'de Süryanice eğitim veren okul bulunmuyor, 1928'de kapatılan son okuldan sonra bu eğitim yapılamıyor, sadece bir anaokulu var.",true,tr
Türkiye iş cinayetlerine rekora koşuyor. Sadece Ağustos ayında 158 işçi hayatını yitirdi.,mostly true,tr
"Avrupa’da nikahları kim kıyıyor, Hristiyan batı dünyasında? Amerika’da kim kıyıyor nikahları? Burada herkes kilisede nikah kıydırıyor. Kilisenin dışında bir yerde nikah kıyılıyor mu? Hayır",false,tr
Fotoğrafın Antik Mısır’a ait fildişinden bir paleti gösterdiği iddiası,true,tr
Et fiyatlarının düşürülmesi amacıyla gerçekleştirilen hayvan ithalatı et fiyatlarını düşürmedi.,true,tr
"Almanya, 700 milyar € ayırmış biz 15 milyar $ ayırmışız. Almanya ekonomisi bizim four katımız. Ama ayırdığı parity 50 katı. Yani nüfusu aynı, ekonomik olarak four kat büyüklükte iki ülke var. Nüfuslar aynı ama Türkiye, Almanya’nın 50’de 1’i kadar parity ayırmış bu işe.",mostly true,tr
Merkels neuestes Opfer.,false,de
Fotoğrafın Çin'deki benzin zammını protesto eden insanları gösterdiği iddiası,false,tr
12 yaşındaki her çocuğun kolesterol ilacı alması tavsiye edilmiyor,false,tr
Yurtdışı uçuş noktaları sayısını 60’tan 296’ya çıkardık. Dünyada destinasyon sayısı açısından birinci THY’dir.,mostly true,tr
"Einem Bericht des UNHCR zufolge erhielten weniger als drei Prozent der Bootsmigranten, die im letzten Jahr in Italien ankamen, einen sogenannten Flüchtlingsstatus.",false,de
Bursa'da hava kirliliği Dünya Sağlık Örgütü limitlerinin ten katı...,true,tr
طی سال‌های آینده جامعه ایران با سونامی سالمندی روبه‌رو خواهد شد.,mostly true,fa
