claim,label
Fotos von Busfahrern ohne Schutzmasken: Fahren Evakuierte nach Coronavirus-Ausbruch in Krankenhaus,mostly true
Fotoğrafın Sümela Manastırı’ndaki tahribatı gösterdiği iddiası,true
"Türkiye'de gelir dağılımı düzeliyor. 2002 yılında en fakirle en zengin arasındaki gelir farkı ne kadardı? 9,5 kattı. Bugün ne kadar? 7,4 kat.",mostly true
yurttaşlarımızın geliri 8 yıldır yerinde saymaktadır.,true
Behauptungen über Impfungen gegen Schweinegrippe und andere Krankheiten,mostly false
Fotoğrafın bir markette takılan alarm kilidini gösterdiği iddiası,true
"Türkiye’nin önümüzdeki 12 ay içerisinde ödenmesi gereken dış borcu haziran sonu itibarıyla 171,4 milyar dolara yükseldi. Sadece ağustos ayında TL’nin değer kaybı nedeniyle bu borcun halka maliyeti 70 milyar TL arttı",true
"Suriye’den gelen 247 bin kişi kampta, 500 bin civarında kişi de yurt içine dağılmış vaziyette",mostly true
"Papst Franziskus befiehlt weißen Frauen, sich mit muslimischen Männern zu ‘kreuzen'.",false
"Ar-Ge harcamasının milli gelire oranı 2002’de yüzde 0,53 iken, 2014’te  yüzde 1 seviyesini aştı.",true
Son 11 yılda 241 tane devlet tarafından öldürülen çocuk var,mostly true
Çocuk suçluluk oranları son 5 yılda yüzde 100 arttı..,mostly true
Syrer sticht Frau samt 3 Kinder ab und versucht Säugling zu verbrennen – lebendig!,mostly false
"(OECD raporunda) Türkiye'de rüşvet, yolsuzluk ve kara para aklamadan söz ediyor...İlk kez Türkiye bu kadar net bir uluslararası raporda yolsuzluk konusunda yer alıyor.",true
"Türkiye'de yaşanan gelişmeler nedeniyle ülkeye yatırımcı gelmiyor, mevcut yatırımcılar da yurtdışına gidiyor.",true
„Strahlende“ Lebensmittel aus #Fukushima,mostly true
Bild soll vermüllten Park nach weltweitem Klimastreik im September 2019 zeigen,false
Pandeminin en yoğun olduğu Mayıs ayında işsizlik azalmış,false
Das Foto eines Flaschen sammelnden Jungen sei ein Beleg für Kinderarmut in Deutschland,false
Fotoğrafın Atatürk’e benzerliği ile bilinen Göksal Kaya ve askerleri gösterdiği iddiası,true
Flüchtlinge fahren kostenlos Bahn,mostly true
"Geçen yıl aynı dönemde 1,8 milyar TL faiz dışı fazla varken, bu yıl faiz dışı bütçe açığı da 12,3 milyar TL’ ye ulaşarak yeni bir rekora imza atmıştır.",true
"Nasıl Türkiye’de bir işsizlik var, Türkiye’den daha çok işsizlik Almanya’da, İngiltere’de, İspanya’da var.",mostly false
Filmcrew dreht Fake-Video über ertrinkende Migranten am Strand von Kreta,false
"1986 yılında nükleerin elektrik üretimindeki payı yüzde 16’ydı, bugün yüzde 11’e düştü.",mostly true
"Öğretmenlerin aldığı maaş yetmiyor, neredeyse yüzde 30’a yakını bu nedenle ek iş yapıyor.",true
Ein Anwalt soll wegen Skripal eine Strafanzeige gegen Bundeskanzlerin Dr. Angela Merkel und Bundesaußenminister Heiko Maas gestellt haben.,mostly false
Die Regierung zahlt eine Prämie für das Zuhausebleiben während der Corona-Pandemie,false
"Deutsche Ärzte dafür bezahlt werden, wenn sie als Todesursache Covid-19 eintragen",false
"Die SPD ist für HartzIV, Leiharbeit, Versteuerung der Rente, den größten Niedriglohn-Sektor Westeuropas, Steuergeschenke für Superreiche und Belastungen für Arbeiter verantwortlich.",mostly false
Biz … dünyanın en eski dört partisinden biriyiz.,false
Türkiye normalleşme döneminde ekonominin tüm göstergelerinde kıyas ülkelerin tamamına göre pozitif ayrışan ülkelerden biri oldu,mostly false
Coronavirus befällt ersten Hund,mostly true
"(Almanya’da) bizim vatandaşımız, Türk kökenli 3,5 milyon seçmeni var",false
Explosion bei einer Gelbwestendemonstration hat in Brüssel stattgefunden,false
"2016'da açılan işyerinin, toplama (işyerine) oranı yüzde 14,1; kapanan işyerinin ise yüzde 5,2 oldu.",mostly true
"İstanbul, Türkiye'nin vergisinin yüzde 50'sini veriyor ama yüzde 10'unu bile almıyor.",mostly true
Muslimischer Mensch läuft 30 Minuten nach Ausbruch des Feuers auf Notre-Dame herum,mostly false
Komşularla ekonomimizi yüzde 8'den yüzde 32'ye çıkardık,mostly false
"2017’de tarımsal kesime 12,7 milyar lira destek verildi; aynı dönemde 8 ürünün ithalatına 20,6 milyar ödeme yapıldı.",true
(İşsizlik Sigortası Fonunda) 31 Temmuz 2016 tarihi itibarıyla birikmiş olan para ne kadar? 98.3 milyar lira. Bu paranın sadece 11 milyar lirası yani yüzde 12'si gibi bir oran bu İşsizlik Fonu'nun kuruluş amacına ve felsefesine uygun olarak harcanmıştır.,true
موسسات معتبر بین‌المللی ایران را جزو امن‌ترین کشورهای جهان برای سفر معرفی کرده‌اند.,mostly true
"Rusya'dan gelen turist sayısı, geçen yılın ocak-kasım dönemine göre 645 bin azaldı, asıl kayıp ise turizm gelirinde yaşandı, 2,5 milyar dolarlık kayıp oldu.",mostly true
792 seçmenin bulunduğu Lüksemburg’da 9 bin 729 oy kullanıldığı iddiası,mostly false
Tabelada hayvan pazarının 'Animal Sunday' diye çevrildiği iddiası,false
"2018-19 yılında ilkokul çocuklarında okullaşma oranı %91, ortaokul çocuklarında %93,28. … ama bu rakamların şöyle bir trajik anlamı var: 2011/12 yani 4+4+4 başladığı gün, bu oran 98,67 idi. Cumhuriyet tarihi boyunca bu oranlar sürekli artagelmiştir.",true
Ulusal hesaplar sisteminde dünya genelinde 5 ya da 7 yılda bir ana revizyonlar yapılmakta.,true
Hekim denklik sınavında kayırılan Suriyeli adayların bakanlık kadrolarına atandığı iddiası,mostly false
İstanbul Havalimanı'nın şantiye alanını su bastığı iddiası,true
Torku'nun sahibi ve ürettiği yumurtalar hakkındaki iddialar,false
„Regierung gibt zu: Impfungen verursachen Autismus und schwere körperliche/psychische Schäden”,mostly false
"... (Türkiye) bir dönem dünyanın en önemli pamuk üreticilerinden birisiydik, şu anda dünyanın en önemli pamuk ithalatçılarından birisiyiz.",true
"İzmir Ankara’ya 5 veriyor, siz İzmir’e 1 veriyorsunuz.",mostly true
Erdoğan'ın övgülerle anlatıldığı iddia edilen Fransız TV kanalının videosu,false
"Das wusste ich nicht 😢! Jetzt hoffe ich noch mehr, dass die neuen ( in Wirklichkeit schon sehr alten und immer für und kämpfenden ) ALLIANZEN am 30.November 2018 Licht ins Dunkel bringen werden und dass die Welt nun endlich sehen kann, dass wir uns auf dem Weg der Freiheit befinden...……",false
Masern-Virus ‘existiert nicht’: Dr. Lanka gewinnt Prozess vor dem BGH,mostly false
Diyanet’in üvey torunun dedeye haram olmadığı fetvasını verdiği iddiası,mostly false
Kinderschänder Tino Brandt ist wieder auf freiem Fuß,true
Madrid'deki polis bildirilerinde Türk bayrağının yanında Arapça yazdığı iddiası,mostly false
Gemi jurnallerine Çanakkale geçildi değil Çanakkale çıkıldı yazılır iddiası,true
Alliierte Soldaten vergewaltigten mehr als eine Million deutscher Frauen und Mädchen nach dem Zweiten Weltkrieg,true
Krefeld: Mehr als 1400 Euro für einen Asylbewerber pro Tag,mostly false
"Turizmde bu yılın ilk 9 ayında 5,1 milyon Rus turisti ağırlayarak, yeni bir rekora daha imza attık.",true
Özoguz fordert Wahlrecht für Migranten.,mostly true
Birleşik Krallık Türkiye için Avrupa’daki en büyük ihracat pazarı. Toplam ticaret hacmimiz 16 milyar doların üzerindedir.,mostly true
Pensilvanya'da Gülen'in evine giden yollarda AK Parti reklamları,true
ایران جزو ۲۰ کشور اول مهاجرفرست نیست.,true
تمام شاخص‌ها به ما می‌گوید که وضع امروز از سال گذشته به مراتب بهتر است و آرامش مردم و ثبات بازار بیشتر است.,false
Statement von Martin Schulz: Der Tod von einigen Deutschen ist ein kleiner Preis für die Sicherheit tausender Syrer,false
"Dolar, OHAL ilan edilmeden önce 2 lira 90 kuruştu, şimdi 4 lira 90 kuruşa kadar çıktı OHAL’in sonunda. Euro 3 lira 20 kuruştu, 5 lira 80 kuruşa kadar çıktı.",mostly true
Video Barış Pınarı Harekatı sırasında Rojava'daki bir enkazı göstermiyor,false
"İstanbul Atatürk Havalimanı, Frankfurt Havalimanı'nı da geçerek Avrupa'da en fazla yolcu ağırlayan üçüncü liman haline geldi.",true
Son 3 yılda iş gücüne ilk kez katılanların yüzde 54’ü ve yeni işe girenlerin yarıdan fazlası kadın.,false
Bakan Pakdemirli'nin patates firmasında danışmanlık yaptığı iddiası,true
"Son 15 yılın performansına bakıyorum, her alanda olduğu gibi tarım alanında da 3-4 misli büyümemiz olmuş.",mostly true
„Migranten fordern viel mehr Sex! An die verständnisvollen SPD und Grünen Frauen! Ab jetzt habt ihr Bereitschaftsdienst“,false
AKP’nin uyguladığı enerji politikaları dışa bağımlılık üzerine kurulu. 2000’de yüzde 67 olan enerjide dışa bağımlılık 2017’de yüzde 76’ya ulaştı.,mostly true
"İstihdama bakıyoruz 19,6 milyon kişiydi biz geldiğimizde, şu anda 28 milyon 80 bin",false
Fındığın alım fiyatı 13 yıl önce 5 dolar iken şu anda 2 dolar bile değil.,mostly true
Çocuk suçluluk oranları son 5 yılda yüzde 100 arttı..,mostly true
Saudischer Wissenschaftler sind zu dem Schluss gekommen 'Frauen sind tatsächlich Säugetiere',false
Video Japonya'da üretilen robotu mu gösteriyor?,false
Flüchtlingsvater kassiert 7.300 Euro.,false
"1986 yılında nükleerin elektrik üretimindeki payı yüzde 16’ydı, bugün yüzde 11’e düştü.",mostly true
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true
Liste ausländischer „Gleisschubser“,false
Sexuelle Übergriffe durch Zuwanderer haben sich von 2014 bis 2018 versechsfacht,mostly false
Muhammed Ali'nin evini TÜRKEN Vakfının satın aldığı iddiası,true
در هر انتخابات ریاست جمهوری ۷۳٪ مردم ایران شرکت می‌کنند.,false
Hatay'ımız Hükûmetimiz döneminde Türkiye'de en fazla hizmet alan ilk 5 ilden bir tanesi.,false
Thüringen: Blumenstraußwerferin will geheime Wahlen abschaffen,mostly false
"AK Parti döneminde yapılan yıllık ortalama yatırım, kendisinden önceki dönemin millî gelire oranının 1.3 puan altındadır.",true
"Türkiye'de en işsiz birinci sıra sosyal hizmet uzmanı kardeşlerimiz. İkinci sırada basın yayın, iletişim, gazetecilik okuyanlar var",true
Große Demonstration von Schaustellern in Berlin von Medien verschwiegen,false
Die Bundeskanzlerin gratuliert zur Kinderehe.,false
(Kadın) cinayetlerde de üst sıradayız.,mostly true
"'Belediyelere, kayyum atayacağım' diyor. Oyla alamadığını zorla almaya çalışıyor. Tarihten, insandan utanmıyorlar. DBP'nin bağlı olduğu belediyelerde AKP adayları yüzde 10 bile oy alamadı.",false
"Üretime baktığınızda, 2000'li yıllarda 5 milyon ton taş kömürü üreten ülke, 1,8 milyon tona düşmüş",false
OECD ülkeleri arasında işsizlik şampiyonuyuz.,false
...ekmeğini kazanabilecek olan her 5 engelliden 4'ü işsiz.,mostly false
"6 milyon 200 bin işsizimiz var. Son iki ayda işsiz kalan kişi sayısı 1 milyon 300 bin. 400 bin kişi bir yıldır iş arıyor, bulamıyor.",true
Görüntünün Covid-19'a yakalanan birinin kalbini gösterdiği iddiası,false
Çin'in Ay'a götürdüğü pamuk tohumlarının filizlendiği iddiası,true
Der Artikel wird mit einem Bild einer Frau aus Gaza illustriert.,mostly true
On dört senede 17 bine yakın işçi iş cinayetlerinde öldürüldü.,true
Avro ne kadar değer kaybettiyse Türk lirası da aynı oranda dalgalanıyor.,mostly false
Bu şehirde 475 bin hane yoksulluk sınırının altında yaşıyor.,true
"Tüm tarihimizi büyüme ve işsizlik verilerini mercek altına alarak inceledik. Hem de TÜİK verilerini esas alarak. Ortaya çıktı ki 1975-80 dönemi hariç tutulduğunda, geride bıraktığımız 2015-2020 dönemi, Türkiye tarihinin en kötü 5 yılı.",mostly false
"Almanya, 700 milyar € ayırmış biz 15 milyar $ ayırmışız. Almanya ekonomisi bizim 4 katımız. Ama ayırdığı para 50 katı. Yani nüfusu aynı, ekonomik olarak 4 kat büyüklükte iki ülke var. Nüfuslar aynı ama Türkiye, Almanya’nın 50’de 1’i kadar para ayırmış bu işe.",mostly true
Genç Müslüman Kadınlar İçin Liderlik programına 1 milyon 163 bin TL harcandığı iddiası,true
"Özellikle küresel kriz ortamında birçok ülke AR-GE harcamalarını kısarken, çok ciddi anlamda bu programlarını dondururken ülkemiz bu harcamalarını artırmaya devam etti.",mostly false
Video Kılıçdaroğlu'nun Çubuk'ta uğradığı saldırıdan sonra söylediklerini göstermiyor,false
"Türkiye'nin buğday rekoltesi 2015'te 22,6 milyon tonla beklenenin üzerinde gerçekleştiği. Bu, 2014'te 19 milyon ton civarındaydı. Türkiye'nin geçen yıl 1,1 milyar dolarlık buğday ithalatı oldu, bunun da büyük bölümü Rusya'dan karşılandı.",true
Türkiye 1980’den bu yana dünyanın en büyük 20 ekonomisinden biridir.,true
ویدیویی که جمعیت کم مقابل جایگاه سخنرانی حسن روحانی در مراسم ۲۲بهمن امسال (۱۳۹۸) را نشان می‌دهد.,true
"(Saddam sonrası Irak'a atfen) Hristiyanlara yönelik yapılan saldırılarda, ülkede yaşayan 1,5  milyona yakın olan nüfusları yaklaşık 400 bine düşmüştür.",mostly false
Iraklı din adamının Iraklı bir Atatürk'e ihtiyacımız var dediği iddiası,true
"Bugün dünyanın en derin tünelini açıyoruz. Denizin altında 106 buçuk metre, dile kolay.",false
"Türkiye ilk çeyrekte sağladığı yüzde 2,3’lük büyüme oranıyla, dünyanın 14’ncü sırasında yer aldı.",false
Bakan Pakdemirli'nin patates firmasında danışmanlık yaptığı iddiası,true
"1992- 2002 yılları arasında yılda ortalama 75 milyon fidan üretiliyordu, sadece 2017 yılında üretilen fidan miktarı 322 milyona çıkmıştır.",mostly false
(İş güvenliği konusunda)  bu konuda dünyada en kötü üçüncü ülkenin Türkiye olduğunu düşünmüyorum.,mostly true
"Mit diesem neuen System könnte man sehr schnell viele Daten sammeln und der breiten Masse aufzeigen, wie wirksam alternative Krebstherapien tatsächlich sind.",false
"Son 3 yıldır Zafer Bayramı kutlanamıyorsa, son 11 bayramın 8’i kutlanamamışsa bu ülkeyi yöneten zihniyette bir sorun var demektir.",false
"Her 100 dolarlık ihracat gelirine karşı; Türkiye’nin dış borcu 194 dolar. Yani borcumuzu ödemeye yetmiyor. Hindistan’ın dış borcu 93 dolar, Meksika’nın dış borcu 92 dolar, Rusya’nın dış borcu 81 dolar. Arjantin’den sonra yükselen piyasa ekonomileri kategorisinde ihracat gelirine göre en fazla dış borcu olan ülke Türkiye.",mostly true
AB ülkelerinden ithalat toplamda yüzde 1 artarken; bizim AB’ye olan ihracatımız yüzde 11’ler seviyesinde arttı.,false
"Türkiye'nin 2002'de 36 milyar lira olan tarımsal milli geliri, 2014 yılında 125 milyar liraya ulaştı.",mostly false
Deutscher Bundestag warnt seine Mitarbeiter vor hohen CO2-Werten im Blut durch Maskentragen,mostly false
Fotoğraf Berlin’e kaçırılan tarihi eserlere ağlayan Iraklı tarihçiyi göstermiyor,false
Türkiye ve bazı Avrupa ülkelerindeki milletvekili maaşı ve asgari ücretlerin oranına dair iddialar,mostly false
Türkiye iş cinayetlerine rekora koşuyor. Sadece Ağustos ayında 158 işçi hayatını yitirdi.,mostly true
