claim,label,source_language
"Wer für eine Haftstrafe für Carola Rackete sei, solle eine SMS mit „seawatch10“ senden",false,de
Gelir dağılımı Türkiye’de gittikçe düzeliyor.,false,tr
Der Rundfunkbeitrag sei überlastet wegen Anfragen von „Hallo Meinung“,false,de
Bildcollage belege einen Zusammenhang zwischen Angela Merkel und dem NSU,false,de
Çocuk gelinlerde dünya üçüncüsüyüz.,false,tr
Ayı saldırısıyla ilgili görselin Sağlık Bakanlığı onaylı ilk yardım kitabında yer aldığı iddiası,false,tr
"Geçen yılı 12,3 milyar dolarlık uluslararası yatırımla kapattık. Bu yılın ilk dört ayında 3,6 milyar ile geçen yılın üzerine çıktık. Amerika ve Avrupa ile birlikte Körfez ve Uzak Doğu Asya ülkelerinin payının da giderek yükseldiğini görüyoruz.",false,tr
"Türkiye, 7 Haziran seçimlerini uluslararası standartlarca demokratik olarak gerçekleştirmiştir.",false,tr
Vergi gelirleri misli ile 4-5 kat arttı.,false,tr
Ekim 2016’da işsizlik oranı Türkiye’de Mart 2010’dan bu yana kaydedilen en yüksek işsizlik oranına tekabül etmiştir.,false,tr
Yeni Akit Gazetesi'nin kara delik görselini buzladığı iddiası,false,tr
"50.000 arbeitslose Türken gegen Gehalt, Kost und Logis nach Deutschland",false,de
Fotoğraf Osmanlı'da seyyar elma şekercisini göstermiyor,false,tr
Avrupa'da en ucuz doğalgaz satan ülke Türkiye'dir. Elektrikte de en ucuz satan ilk 5 ülke arasındadır.,false,tr
Pensilvanya'da Gülen'in evine giden yollarda AK Parti reklamları,true,tr
yüzde 4’lük büyüme ile Çin ve Hindistan hariç gelişmekte olan ülkeler ortalamasının iki katından fazla büyüdük.,false,tr
CHP milletvekilleri Adalet Mitingi yerine Kazlıçeşme Mitingi fotoğrafı paylaştı iddiası,true,tr
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr
Duden listet „Inschallah“ neu als deutsches Wort,false,de
"Son 20 yılın en yüksek tek ayı geldi gıda enflasyonunda, %6,5’a yakın.",false,tr
Bütün dünyada doların değer kazanması sonrasında ulusal para birimlerinde benzer bir trend yaşanıyor.,false,tr
Kleintransporter rast in Gruppe von Türken,false,de
Der unverbindliche Migrationspakt – plötzlich doch verbindlich!,false,de
Fotoğrafın Birinci Dünya Savaşı'ndan kaçıp Müslüman ülkelere sığınan Avrupalıları gösterdiği iddiası,false,tr
